word,sopmi
极其,-67.93508221751793
一大坨,-59.208170288015666
食欲,-58.272117204795514
最差,-55.582829585773794
，比,-54.250254246686936
遇到,-52.69176395732696
冷面,-52.66529174596576
见过,-51.75840115035724
要命,-51.66529174596576
相比,-51.080329245244606
奇葩,-51.01118308420384
狗,-50.92832615179955
气死,-50.66529174596575
太TM,-50.272974323187
不仅,-50.19991086099728
青菜,-50.080329245244585
史,-49.272974323187
，排骨,-49.035935125886155
0分,-48.758401150357244
番茄酱,-48.75840115035724
实物,-48.495366744523444
食堂,-47.8839320324411
听,-47.81801063949541
双拼,-47.688011822465846
猫,-47.588476148914935
这里,-47.39850520527085
慎重,-47.22788643365846
相,-47.080329245244606
缺,-47.03593512588615
15分钟,-47.003513648193774
粉条,-46.6063980569122
毛,-46.549814528545824
米,-46.436473055469875
小区,-45.88393203244111
金牌,-45.85151055474873
海鲜,-45.781121226857316
无语。,-45.54117043413656
占,-45.495366744523466
发誓,-45.472998931495006
油，,-45.27297432318701
盒菜,-45.17343864963609
核对,-45.17343864963609
一坨,-45.02143555619104
温,-44.91040424380229
米，,-44.85151055474873
10个,-44.85151055474872
中午1点,-44.450972625164994
吧！,-44.1734386496361
拌饭，,-43.925511136192505
什么时候,-43.249338763995354
事情,-42.78112122685732
错觉,-42.707464185132025
浇,-42.50810273245091
较于,-42.44824283240942
省,-42.425693216716624
？？？,-42.402609603603594
宫保据说,-42.34054863547135
决定,-41.7708528914035
酱汁，,-41.4660795175552
避开,-41.022675905280664
其中,-40.59481008263698
跟进,-40.57501388910838
形容,-40.51508289016625
一起,-40.11619281346398
就打,-39.81193345168805
首先,-39.16068674222724
越,-39.055651271528944
平时,-38.4706887708078
字,-38.37757936641631
，大酱汤,-38.207654364974005
学子们,-37.50931816908975
退款,-37.4706887708078
石锅拌饭，,-37.46170435112601
一个星期,-37.308633455394585
从来,-37.204043111421626
原因,-36.86300619358656
这一家,-36.73734082442438
将近,-36.488610678805045
，，,-36.470688770807804
吐血,-36.27139145765196
几根,-36.24829634947135
扔掉,-35.91126136219379
一层,-35.811725688642866
连,-35.581720083196544
极，,-35.470688770807804
一分,-35.4706887708078
排骨，,-35.4706887708078
三分钟,-35.47068877080779
5,-35.39074061449154
永远,-35.207654364974
叫,-35.13459090278429
很远,-35.05565127152895
豆腐,-34.95721999591985
、量,-34.88572627008665
导致,-34.73372317664158
整个,-34.51959837128874
真特,-34.47068877080778
正常,-34.40029944291639
严重,-34.27804369286539
特,-34.26210214899639
花,-34.207654364974
，糖醋里脊,-34.148760675920435
坑爹,-34.082123482890125
见,-33.92636825458399
。！,-33.88572627008665
炒面,-33.88572627008664
素质,-33.885726270086636
外卖，差评！,-33.885726270086636
奇,-33.885726270086636
蓝莓,-33.88572627008662
油菜,-33.792616865695166
也不,-33.733723176641575
