word,sopmi
慢慢,-0.8997743606514845
这么,-1.5053352157591249
特别,-2.2490376732539126
又,-2.517232524311517
超级,-2.8770949985099215
要死,-3.0481123072020395
太,-3.5233537271573034
相当,-4.069075152996261
那么,-4.131496324294176
以前,-4.876219151320065
得,-5.16641962766235
除了,-5.314884957195908
真的,-5.479418966347332
一次,-5.514273884037273
真是,-5.581959748675757
过,-5.610931924885854
味道不好,-5.637142848642233
啊,-5.664163703052125
而且,-5.711165566408376
面皮,-5.741747891871546
差差,-5.7990879865207035
总之,-6.037503736322154
是,-6.095553963943509
还,-6.286072795050117
不能,-6.502630524902987
都,-6.513213560839613
也,-6.582357779265649
第一次,-6.60889863174852
汤里,-6.61922094064497
的,-6.66591491631894
一点,-6.743464875011632
遇到,-6.778898098646049
排骨,-6.798683683709548
这样,-6.853709998553786
东西,-6.875199427745528
极其,-7.144987489398032
就,-7.1658047015782955
了,-7.232023330491074
比,-7.25230039464499
！,-7.253007395903374
一样,-7.432246230115506
？,-7.583959513634866
没,-7.600331072761779
一个,-7.669651192186585
再,-7.732091024976221
跟,-7.7399798407711415
建议,-7.770578331673134
饭,-7.813066676697314
可以,-7.830769392768573
不,-7.867077656949128
真心,-7.947905101250727
其它,-7.971167580101966
外卖,-7.988378900236537
今天,-8.075795834694272
有点,-8.1460724495354
吃,-8.277078795423229
…,-8.33632181011697
这个,-8.399309109100173
直接,-8.443749566696017
从来,-8.44416797414088
吧,-8.448756684229611
别的,-8.53697163387304
做,-8.609813518889563
实在,-8.694679638214762
不是,-8.698258459138199
明显,-8.831365518540188
不说,-8.856541945997291
点,-8.88492817668224
合谷,-8.986860389708074
我,-8.987128284767262
番茄酱,-9.033525749540312
为什么,-9.034355969206505
质量,-9.035712124237218
说,-9.05160908674269
比较,-9.112120190089536
~,-9.140220382634164
送餐,-9.177150333246267
就是,-9.180372219166951
这,-9.187424968007079
它,-9.204183441366126
大家,-9.222105349363389
用,-9.23555469865325
冷面,-9.271579445276135
再也,-9.272374407871649
一般,-9.274117407278478
菜,-9.290894015799651
这次,-9.33826462681392
洋葱,-9.366862696270003
店,-9.44929593920266
肉,-9.455545166458283
么,-9.457937900367337
因为,-9.458555533790793
快餐,-9.467217847199917
