word,so-pmi
还少,-15.036097321556127
将近,-14.884094228111081
味道不好,-14.71416922666877
不仅,-14.451134820834977
遇到,-14.351599147284054
没见,-13.843452243613735
不送,-13.714169226668771
发誓,-13.71416922666877
字,-13.714169226668767
巨,-13.714169226668767
即使,-13.714169226668767
难以,-13.714169226668767
相比,-13.714169226668767
星巴克,-13.714169226668766
人理,-13.714169226668762
十五,-13.71416922666876
差差,-13.659721442646386
省,-13.544244225226455
极其,-13.544244225226452
小份,-13.451134820834975
消费者,-13.451134820834973
粉条,-13.299131727389923
没法,-13.284484951425519
关机,-13.129206725947613
花钱买,-13.129206725947613
26,-13.129206725947613
实体,-13.129206725947613
蓝莓,-13.129206725947613
蒸,-13.129206725947611
汤里,-13.129206725947611
受不了,-13.129206725947606
那份,-13.129206725947604
咸味,-13.129206725947604
形容,-13.036097321556133
差劲,-12.866172320113819
要死,-12.758563346027222
多长时间,-12.71416922666877
黑椒,-12.71416922666877
具体,-12.71416922666877
发脾气,-12.71416922666877
多慢,-12.71416922666877
说声,-12.71416922666877
小区,-12.71416922666877
碗底,-12.71416922666877
更差,-12.71416922666877
铁板,-12.71416922666877
于,-12.71416922666877
送还,-12.714169226668767
丽华,-12.714169226668767
送少,-12.714169226668767
付,-12.714169226668766
还贵,-12.714169226668764
要命,-12.714169226668764
见,-12.714169226668762
不足,-12.714169226668762
特少,-12.714169226668762
双拼,-12.71416922666876
太差,-12.637353629617934
明显,-12.621059822277282
下咽,-12.621059822277282
严重,-12.544244225226459
上面,-12.544244225226453
到处,-12.392241131781402
饭里,-12.299131727389927
极了,-12.299131727389925
失败,-12.28120981939266
退,-12.222316130339093
四盒,-12.129206725947613
坐,-12.129206725947613
包裝,-12.129206725947613
果,-12.129206725947613
喷,-12.129206725947613
饭凉,-12.129206725947613
外送费,-12.129206725947613
跟不上,-12.129206725947613
据说,-12.129206725947613
很糟,-12.129206725947613
很无语,-12.129206725947613
0,-12.129206725947613
事后,-12.129206725947613
超长,-12.129206725947613
避开,-12.129206725947613
拍,-12.129206725947613
蒸蛋,-12.129206725947613
缺斤短两,-12.129206725947613
吵,-12.129206725947613
偷工减料,-12.129206725947613
一问三不知,-12.129206725947613
明确,-12.129206725947613
可不是,-12.129206725947613
油菜,-12.129206725947613
請,-12.129206725947613
教训,-12.129206725947613
炒米,-12.129206725947613
稀释,-12.129206725947613
馆子,-12.129206725947613
名不副实,-12.129206725947613
不足以,-12.129206725947613
软绵绵,-12.129206725947613
勾魂,-12.129206725947613
菜太咸,-12.129206725947613
砂锅,-12.129206725947611
快餐,-12.129206725947611
再慢,-12.129206725947611
猫,-12.129206725947611
先是,-12.129206725947611
两根,-12.129206725947611
没个,-12.129206725947611
一坨,-12.129206725947611
半生不熟,-12.129206725947611
八,-12.129206725947611
三根,-12.129206725947611
汤全,-12.129206725947611
焦糖,-12.129206725947611
黑乎乎,-12.129206725947611
面汤,-12.129206725947611
得罪,-12.129206725947611
查查,-12.129206725947611
不脆,-12.12920672594761
回复,-12.129206725947608
坨成,-12.129206725947608
大盘鸡,-12.129206725947608
布丁,-12.129206725947606
出餐,-12.129206725947606
害,-12.129206725947606
温,-12.129206725947606
强烈推荐,-12.129206725947606
既,-12.129206725947606
真特,-12.129206725947606
一多半,-12.129206725947606
坑爹,-12.129206725947606
改变,-12.129206725947606
心服,-12.129206725947606
狗屁,-12.129206725947606
饿得,-12.129206725947606
吓,-12.129206725947606
一等,-12.129206725947606
没饭,-12.129206725947606
妈蛋,-12.129206725947606
表达,-12.129206725947606
韩餐,-12.129206725947606
上楼,-12.129206725947604
两样,-12.129206725947604
扣,-12.129206725947604
36,-12.129206725947604
别定,-12.129206725947604
越做越,-12.129206725947604
南瓜子,-12.129206725947604
干脆,-12.129206725947604
马,-12.129206725947604
真泥,-12.129206725947604
泡面,-12.129206725947604
充饥,-12.129206725947604
不提也罢,-12.129206725947604
幸运,-12.129206725947604
买包,-12.129206725947604
体积,-12.129206725947604
自欺欺人,-12.129206725947604
光彩,-12.129206725947604
前后,-12.129206725947604
一切都是,-12.129206725947604
铺层,-12.129206725947604
只够,-12.129206725947604
仿料,-12.129206725947604
无力,-12.129206725947604
死不承认,-12.129206725947604
见赖,-12.129206725947604
抵,-12.129206725947604
点米,-12.129206725947604
连锁店,-12.129206725947604
发财,-12.129206725947604
蟹黄,-12.129206725947604
北化北,-12.129206725947604
北服,-12.129206725947604
问能,-12.129206725947604
学子,-12.129206725947604
吐血,-12.129206725947604
锅煲,-12.129206725947604
跟进,-12.129206725947604
用石,-12.129206725947604
星期,-12.129206725947604
后果,-12.129206725947604
一片片,-12.129206725947604
体谅,-12.129206725947604
红点,-12.129206725947604
不烂呼,-12.129206725947604
申请,-12.129206725947604
均,-12.129206725947604
组织,-12.129206725947604
那好,-12.129206725947604
撕大拌,-12.129206725947604
不在定,-12.129206725947604
準備,-12.129206725947604
自行,-12.129206725947604
賣,-12.129206725947604
這家外,-12.129206725947604
在手,-12.129206725947604
裡拿著,-12.129206725947604
错觉,-12.129206725947604
宫保,-12.129206725947604
相较,-12.129206725947604
凉饭,-12.129206725947604
烂成,-12.129206725947604
树根,-12.129206725947604
看量,-12.129206725947604
买饭,-12.129206725947604
佐料,-12.129206725947604
气得,-12.129206725947604
点时,-12.129206725947604
差字,-12.129206725947604
十四分,-12.129206725947604
合谷,-11.977203632502556
所有,-11.959281724505296
最差,-11.936561648005215
扔掉,-11.866172320113817
臭,-11.866172320113815
好意思,-11.807278631060251
没用,-11.714169226668771
炒肉,-11.71416922666877
不吃,-11.71416922666877
果真,-11.71416922666877
借口,-11.71416922666877
回去,-11.71416922666877
多人,-11.71416922666877
欺骗,-11.71416922666877
一副,-11.71416922666877
缺,-11.71416922666877
街,-11.71416922666877
东北,-11.71416922666877
膻味,-11.71416922666877
三分钟,-11.71416922666877
如,-11.71416922666877
88,-11.71416922666877
会订,-11.71416922666877
油挂,-11.71416922666877
后悔,-11.714169226668767
太厚,-11.714169226668767
真够,-11.714169226668767
人员素质,-11.714169226668767
至今,-11.714169226668767
到极点,-11.714169226668767
前台,-11.714169226668767
全肥,-11.714169226668767
教育,-11.714169226668767
气愤,-11.714169226668767
炸薯条,-11.714169226668767
⋯,-11.714169226668766
肠,-11.714169226668766
不满,-11.714169226668766
认识,-11.714169226668766
没人,-11.714169226668766
早上,-11.714169226668766
玩,-11.714169226668764
真是太,-11.714169226668764
巨慢,-11.714169226668764
两块,-11.714169226668764
糟,-11.714169226668764
三盒,-11.714169226668762
餐晚,-11.714169226668762
食欲,-11.714169226668762
卤肉,-11.714169226668762
不来,-11.714169226668762
有意思,-11.714169226668762
慢慢,-11.714169226668762
不难,-11.714169226668762
改正,-11.714169226668762
大厨,-11.714169226668762
晚到,-11.714169226668762
l,-11.714169226668762
东北菜,-11.714169226668762
厚厚,-11.714169226668762
油乎乎,-11.714169226668762
瞎话,-11.714169226668762
下来,-11.71416922666876
史上,-11.71416922666876
望,-11.71416922666876
麻油,-11.71416922666876
很差,-11.673527242171414
腥,-11.544244225226457
妈,-11.544244225226453
这是,-11.544244225226453
荤菜,-11.544244225226448
可怜,-11.500765588559567
接电话,-11.451134820834975
客户,-11.451134820834973
差距,-11.451134820834971
糊弄,-11.392241131781406
放盐,-11.351599147284059
超慢,-11.351599147284057
没吃过,-11.351599147284055
饭盒,-11.299131727389922
荤,-11.29913172738992
奇葩,-11.299131727389918
丁饭,-11.299131727389916
排骨,-11.287636088552095
整整,-11.281209819392666
图片,-11.281209819392664
一个多,-11.281209819392663
不买,-11.129206725947615
永远,-11.129206725947615
雨,-11.129206725947613
带够,-11.129206725947613
山药,-11.129206725947613
饭到,-11.129206725947613
什锦,-11.129206725947613
一手,-11.129206725947613
三口,-11.129206725947613
久久,-11.129206725947613
.......,-11.129206725947613
真实,-11.129206725947613
拜拜,-11.129206725947613
神,-11.129206725947613
太贵,-11.129206725947613
150,-11.129206725947613
每种,-11.129206725947613
新来,-11.129206725947613
稳定,-11.129206725947613
半才,-11.129206725947613
半下,-11.129206725947613
两口,-11.129206725947613
切碎,-11.129206725947613
直线,-11.129206725947613
没点,-11.129206725947613
三分之二,-11.129206725947613
操蛋,-11.129206725947613
熟悉,-11.129206725947613
货,-11.129206725947613
昨晚,-11.129206725947613
车,-11.129206725947613
生产日期,-11.129206725947613
香蕉,-11.129206725947613
减价,-11.129206725947613
软塌,-11.129206725947613
从此,-11.129206725947613
待遇,-11.129206725947613
尽量,-11.129206725947613
金银,-11.129206725947613
一闷,-11.129206725947613
一分货,-11.129206725947613
八点,-11.129206725947613
全漏,-11.129206725947613
运输,-11.129206725947613
银耳,-11.129206725947613
