word,sopmi
更,-3.4431996731012795
比较,-3.719159058725438
较,-4.010546010484481
超级,-5.355893168800975
～,-5.376192905106663
特别,-6.024783751307869
非常,-6.090018310790107
也,-6.247248724206639
就是,-6.4687703319721095
送货,-6.51020132564744
速度,-6.520560866069921
啦,-6.535092785937238
~,-6.539017318276649
好像,-6.643507559155907
哈哈,-6.706050142774341
还是,-6.880295702281444
很香,-6.927437968209727
!,-6.927790231681358
量,-6.954654860394701
送得,-7.1026199881101455
省事,-7.157503538522924
又,-7.216513792251526
菜品,-7.253242000664095
还,-7.260081301872727
到手,-7.298258390033929
花卷,-7.372763826397563
会,-7.41531307775756
味道,-7.452781625376261
送餐,-7.4533087897819
好评,-7.482434813466906
稻香村,-7.507197275316976
但是,-7.546271095985318
就,-7.60670768261113
饼,-7.60744183188099
…,-7.648576928834309
感觉,-7.677793595035453
再,-7.712547804782133
！,-7.715683165128016
便宜,-7.7459885681807314
配送,-7.7945338155261155
不过,-7.823778298476871
选择,-7.824327201701523
那么,-7.844139767533353
啊,-7.867724969351702
分量,-7.9332344798857655
值得,-8.016656373785981
的,-8.021649079045691
薏米,-8.040293353878528
总体,-8.09446891601823
觉得,-8.121087642053183
包装,-8.13375424362619
很,-8.134199502577342
品质,-8.150526785276867
卷饼,-8.187910831656474
香锅,-8.190472374043521
好,-8.19779960689737
下次,-8.205853779228072
寸,-8.232938431820932
确实,-8.279096269617643
想象,-8.363399639963173
外卖,-8.385541504258573
只是,-8.388374470444028
算,-8.391968792159945
是,-8.4157295086836
东西,-8.420774518606411
都,-8.54600963135572
真的,-8.564156050435795
足,-8.577412267147409
菜量,-8.585590342671505
吧,-8.652206544443072
但,-8.655003197993743
煮肉,-8.655003197993743
煎饼,-8.66844332766124
真心,-8.67240155143481
方便,-8.68351400243499
有点,-8.724288674819004
哦,-8.724842041798516
好多,-8.73352795799724
的话,-8.753411193995284
了,-8.786747698455713
饭,-8.795457657438945
粥,-8.803115112957684
大,-8.814767746985662
饺子,-8.850125526978582
卫生,-8.866752667071228
一个,-8.909186388432666
肉,-8.95401037020542
得,-8.983437603629486
菜,-9.059212131892291
饭菜,-9.067303955194063
米饭,-9.069055775160315
现,-9.06943969953805
挺,-9.078484360260155
够,-9.133402758270016
当然,-9.180471011926793
等,-9.194568225849718
一些,-9.210979509197767
能,-9.218780383843026
满减,-9.292433118609033
干锅,-9.300052627679465
鱼香肉丝,-9.322180462003084
相当,-9.32234869651332
早点,-9.350725809928067
两个,-9.357690280709328
要是,-9.434555267486957
提前,-9.457114334029743
配菜,-9.463474105456903
说,-9.47746365216561
披萨,-9.485775502914546
不能,-9.488541723457029
上次,-9.566436281983638
果然,-9.578811810040442
棒棒,-9.597985762248086
呀,-9.60286557465856
肉少,-9.682971352455976
来,-9.687560062544716
夏天,-9.693063820628312
放心,-9.713295889312777
晚上,-9.726508511290692
麻辣,-9.735489285998018
以后,-9.7379847632333
预定,-9.757971816722698
这次,-9.780809457821569
一点,-9.796998029816592
皮蛋,-9.807056805086699
送,-9.837828585733877
卷,-9.975684413063792
到,-9.977878332757495
油条,-9.983086360864963
沙拉,-10.017573277378448
继续,-10.07171726296404
没想到,-10.163150101664064
本来,-10.255658508321014
小时,-10.269711536403221
中午,-10.349906332549066
买,-10.365422431731645
人,-10.385072015275572
点送,-10.394790132727556
有,-10.408176761105086
虽然,-10.455955062254905
很多,-10.465579612177894
服务态度,-10.532774157318862
不算,-10.549270477215055
包,-10.55039815476443
送到,-10.575799218961915
还会,-10.595018830385593
吃,-10.62143274414758
延时,-10.631682123759123
正好,-10.672653904815427
其他,-10.679784730251216
态度,-10.686046027724448
起来,-10.68649388139262
一直,-10.687933230005939
很大,-10.689369166515785
服务,-10.728616363006235
豆腐脑,-10.776644474338468
可能,-10.778615847525769
原来,-10.793781892663231
女生,-10.83233106281651
不,-10.845529202852628
点,-10.851844102882477
这么,-10.85807466571211
也好,-10.868244318231728
真,-10.927219189054526
一样,-10.928137490198822
定,-10.93111669840911
百度,-10.974085241217917
下单,-11.02943501197068
比,-11.041578413087748
以前,-11.082416565774654
时间,-11.084559916119375
赞,-11.093787876694742
牛肉,-11.102768286725315
点心,-11.105283515532573
倒,-11.105884513267116
？,-11.126624521292538
那,-11.132120020825415
时候,-11.140562641148648
太,-11.188288632341028
土豆丝,-11.208834557114521
鸡肉,-11.20979959411695
而且,-11.212527670513609
之前,-11.269684485618587
做,-11.285575836245656
不太,-11.310106292343388
如果,-11.313186974049803
大家,-11.316180298031195
南瓜,-11.320978466534012
这,-11.332557766314345
想,-11.351178208736851
牛蛙,-11.36300115478419
爱,-11.375073987084763
才,-11.376520051808331
员,-11.38559303664842
