pos,val
比较,-8.84732156213445
超级,-10.384996444439512
非常,-10.399563965545795
特别,-10.93027701504727
送货,-12.342907945530277
很,-12.91638451835734
更,-12.932651460402013
稻香村,-12.964006355253085
挺,-13.125078770145748
包装,-13.189935462545275
又,-13.356287539022947
～,-13.547346044086687
也,-13.617437911038575
一些,-13.677430618938242
方便,-13.740006382459615
送餐,-13.794028292529774
算,-13.837883230992766
菜品,-13.839508325555881
服务态度,-13.957503266261043
能,-14.059833586022208
卫生,-14.209868010459756
就,-14.32090155247204
但是,-14.324200830452085
啦,-14.427038339574834
量,-14.443649871096344
还是,-14.445908853984882
！,-14.605294202046544
就是,-14.666308851075033
味道,-14.934480804201748
饭菜,-15.167969224904889
早点,-15.258746001696503
外卖,-15.299413243380656
足,-15.338430046529158
值得,-15.46268790973675
哦,-15.47234764026638
但,-15.533877044102658
那么,-15.607833324677303
好评,-15.870102742170502
服务,-15.970060288499859
赞,-15.972060725069122
下次,-16.060590325639147
的,-16.072933835658095
配送,-16.09105992382428
还,-16.101492084904148
啊,-16.1067445562434
也好,-16.42786420375161
大,-16.437588584618386
点心,-16.539372518968598
谢谢,-16.540519446114924
呀,-16.633742514212535
一点,-16.6469830241015
"
"
neg,val
相当,-10.726598413042415
又,-11.103673925468872
都,-11.791757683088278
一个,-12.584203972706334
是,-13.035139073646356
就,-13.156741224382841
了,-13.429369666938594
的,-13.508308303595204
今天,-13.885469394454752
还,-14.087333726035105
而且,-14.091892658733741
没,-14.932675945464517
也,-15.634234650147722
第一次,-15.811619815690815
将近,-15.868207079575415
还是,-15.919757300209863
这次,-16.00701232452232
！,-16.18111819691758
得,-16.24233479863931
为什么,-16.3200964616434
一半,-16.61170602678915
说,-16.839790750610632
本来,-16.850047403004417
起来,-17.23825763868291
太,-17.26712055005118
送餐,-17.385379181321508
不,-17.452627542548104
以前,-17.455401216804862
这,-17.48435366624443
比,-17.495072376034386
吃,-17.546073198784697
吧,-17.695872242290992
一,-17.848604414623125
什么,-17.966863437144248
啊,-18.06265448782198
点,-18.513930555304178
菜,-18.520605755897357
？,-18.536879285819257
我,-18.89106699656894
饼,-19.051394737803882
2,-19.179932076743544
快递,-19.343883731867756
两个,-19.40242603117812
可以,-19.589544798954666
小,-19.673200198854786
过,-19.748217121576765
知道,-19.823310395066112
还有,-20.01828899759831
上,-20.034379946156633
个,-20.06846150029802
已经,-20.16469810148363
